"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Carmen Molina",2,1,3,6.24099999999998,4.58999999999992,10.8309999999999
"Clinic's Clerk",1,1,2,4.25,1.89999999999986,6.14999999999986
"Gonzo",1,1,2,1.33399999999983,0.579999999999927,1.91399999999976
"Hank Schrader",5,7,12,56.306,109.576,165.882
"Hugo Archuleta",2,1,3,5.21899999999982,4.57200000000012,9.79099999999994
"Jesse Pinkman",3,3,6,106.99,95.0499999999997,202.04
"Marie Schrader",4,4,8,16.6160000000002,26.3679999999999,42.9840000000002
"Mrs. Pope",2,2,4,11.6189999999999,13.543,25.1619999999999
"Skinny Pete",3,3,6,13.0010000000002,23.6600000000004,36.6610000000006
"Skyler White",5,5,10,45.2160000000001,31.6299999999999,76.8459999999999
"Steven Gomez",1,1,2,5.66999999999996,2.55599999999993,8.22599999999989
"Student #1",1,0,1,1.87,0,1.87
"Tuco Salamanca",3,4,7,38.5080000000001,62.6410000000001,101.149
"Walter White",13,13,26,255.037,203.753,458.790000000001
"Walter White Jr.",4,4,8,28.8320000000001,16.2900000000004,45.1220000000005
