"","counts","durations"
"AvgInDegree",2.69230769230769,2.69230769230769
"AvgOutDegree",2.69230769230769,2.69230769230769
"AvgAllDegree",5.38461538461539,5.38461538461539
"AvgInStrength",53.6153846153846,53.6461538461538
"AvgOutStrength",53.6153846153846,53.6461538461538
"AvgAllStrength",107.230769230769,107.292307692308
"UndirectedDegreeAssortativity",-0.49187695399732,-0.49187695399732
"DirectedDegreeAssortativity",-0.529313002499907,-0.529313002499907
"UndirectedStrengthAssortativity",-0.123363939880165,-0.167603014466686
"DirectedStrengthAssortativity",-0.0940403763098897,-0.108965819269807
"AvgWeight",19.9142857142857,19.9257142857143
