"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Adam Pinkman",4,3,7,32.1220000000001,34.3680000000001,66.4900000000002
"Badger",2,3,5,25.213,36.8920000000001,62.1050000000001
"Carmen Molina",2,1,3,6.24099999999998,4.58999999999992,10.8309999999999
"Christian ""Combo"" Ortega",2,2,4,32.57,24.75,57.3199999999999
"Clinic's Clerk",1,1,2,4.25,1.89999999999986,6.14999999999986
"Clovis",2,1,3,42.496,20.2599999999999,62.7559999999999
"Danny's Auto Service Employee #1",1,1,2,7.10399999999981,2.92000000000007,10.0239999999999
"DEA agent #1",0,1,1,0,2.139,2.139
"Dr. Chavez",1,1,2,26.2809999999999,25.9779999999998,52.2589999999997
"Dr. Delcavoli",3,3,6,34.8919999999998,55.3460000000002,90.238
"Dr. Soper",3,3,6,29.76,14.88,44.64
"George Merkert",1,1,2,12.54,4.88900000000012,17.4290000000001
"Gonzo",1,1,2,1.33399999999983,0.579999999999927,1.91399999999976
"Hank Schrader",12,13,25,211.834,335.431,547.265
"Henry Tyree",3,1,4,17.1719999999998,0.835000000000036,18.0069999999999
"Hospital Medic",1,1,2,3.28,7,10.28
"Hugo Archuleta",2,1,3,5.21899999999982,4.57200000000012,9.79099999999994
"Jake Pinkman",3,3,6,43.2160000000004,18.1159999999998,61.3320000000002
"Jesse Pinkman",17,18,35,448.8,504.580000000001,953.380000000001
"Ken",2,1,3,7.17000000000007,7.10399999999981,14.2739999999999
"Louis Corbett",2,1,3,7.69999999999982,7.64100000000008,15.3409999999999
"Marie Schrader",4,4,8,54.0940000000002,76.616,130.71
"Mesa Credit Union employee #1",1,1,2,3.9079999999999,3.72300000000018,7.63100000000008
"Mr. Gardiner",1,3,4,11.056,12.1999999999999,23.2559999999999
"Mrs. Pinkman",4,3,7,71.003,57.4859999999999,128.489
"Mrs. Pope",2,2,4,11.6189999999999,13.543,25.1619999999999
"Paul Tyree",3,3,6,26.0909999999998,42.4840000000002,68.575
"Ramey",1,1,2,21.258,3.75999999999999,25.018
"Sara Tyree",2,3,5,5.76099999999997,5.44899999999962,11.2099999999996
"Skinny Pete",4,4,8,41.1110000000003,35.8600000000003,76.9710000000006
"Skyler White",8,8,16,324.107,219.408,543.515
"Steven Gomez",2,3,5,46.9440000000001,40.826,87.7700000000001
"Student #1",1,0,1,1.87,0,1.87
"Tio's nurse",1,1,2,0.625,2.3599999999999,2.9849999999999
"Tuco Salamanca",3,4,7,38.5080000000001,62.6410000000001,101.149
"Walter White",18,19,37,681.508000000002,799.884,1481.392
"Walter White Jr.",5,6,11,246.906,94.0380000000004,340.944
"Wendy",3,2,5,23.4759999999999,19.76,43.2359999999999
"Wino",1,1,2,0.640000000000001,4.87000000000012,5.51000000000012
