"","counts","durations"
"AvgInDegree",3.30769230769231,3.30769230769231
"AvgOutDegree",3.30769230769231,3.30769230769231
"AvgAllDegree",6.61538461538461,6.61538461538461
"AvgInStrength",63.8205128205128,66.9148461538462
"AvgOutStrength",63.8205128205128,66.9148461538462
"AvgAllStrength",127.641025641026,133.829692307692
"UndirectedDegreeAssortativity",-0.387877447013319,-0.387877447013319
"DirectedDegreeAssortativity",-0.394358533815611,-0.394358533815611
"UndirectedStrengthAssortativity",-0.3350685473147,-0.330616456434197
"DirectedStrengthAssortativity",-0.32973293987287,-0.326803084121289
"AvgWeight",19.2945736434109,20.2300697674419
