"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Aemon",1,3,4,2.51000000000022,13.0599999999999,15.5700000000002
"Alliser Thorne",1,1,2,3.26099999999997,3.05999999999995,6.32099999999992
"Barristan Selmy",4,4,8,16.5600000000004,12.75,29.3100000000004
"Cersei Lannister",3,3,6,22.3599999999999,44.8000000000004,67.1600000000003
"Daenerys Targaryen",3,3,6,59.7960000000004,35.27,95.0660000000004
"Drogo",1,2,3,14.4400000000001,24.0380000000005,38.4780000000006
"Eddard Stark",10,11,21,168.109,80.7300000000007,248.839000000001
"Grenn",1,0,1,2.0590000000002,0,2.0590000000002
"Jaime Lannister",1,1,2,41.471,14.994,56.465
"Janos Slynt",1,1,2,5.23000000000002,1.34999999999991,6.57999999999993
"Jeor Mormont",2,5,7,7.76099999999997,12.3600000000001,20.1210000000001
"Joffrey Baratheon",3,1,4,9.85100000000011,0.429999999999836,10.2809999999999
"Jon Snow",5,4,9,50.8599999999997,22.9099999999999,73.7699999999995
"Jorah Mormont",4,3,7,34.1720000000005,35.4030000000003,69.5750000000008
"Little Bird",0,1,1,0,4.93000000000006,4.93000000000006
"Luwin",2,2,4,11.6709999999998,15.8800000000001,27.551
"Osha",2,2,4,35.2770000000001,23.9799999999998,59.2569999999999
"Othell Yarwyck",0,2,2,0,5.9399999999996,5.9399999999996
"Petyr Baelish",2,2,4,26.0100000000001,86.3700000000002,112.38
"Pycelle",2,0,2,4.46000000000026,0,4.46000000000026
"Pypar",4,2,6,9.73099999999977,9.75999999999977,19.4909999999995
"Rakharo",1,1,2,2.33400000000006,1.75999999999999,4.09400000000005
"Rast",1,0,1,1.26999999999998,0,1.26999999999998
"Renly Baratheon",2,1,3,16.6299999999999,31.1999999999998,47.8299999999997
"Robert Baratheon",2,6,8,4.96000000000004,58.6710000000002,63.6310000000003
"Ros",1,1,2,55.36,6.89999999999998,62.26
"Royal Steward",1,1,2,0.630000000000109,3.85899999999992,4.48900000000003
"Samwell Tarly",6,4,10,33.0109999999995,43.373,76.3839999999996
"Theon Greyjoy",2,2,4,18.45,25.538,43.9880000000001
"Tomard",1,1,2,4.66000000000031,0.710000000000036,5.37000000000035
"Tywin Lannister",1,1,2,14.994,41.471,56.465
"Varys",2,2,4,6.57000000000017,13.6200000000001,20.1900000000003
"Wineseller",3,2,5,16.2190000000001,25.5600000000002,41.7790000000003
