"","counts","durations"
"AvgInDegree",2.27272727272727,2.27272727272727
"AvgOutDegree",2.27272727272727,2.27272727272727
"AvgAllDegree",4.54545454545455,4.54545454545455
"AvgInStrength",19.030303030303,21.2326363636364
"AvgOutStrength",19.030303030303,21.2326363636364
"AvgAllStrength",38.0606060606061,42.4652727272728
"UndirectedDegreeAssortativity",-0.309293370262451,-0.309293370262451
"DirectedDegreeAssortativity",-0.330384823712206,-0.330384823712206
"UndirectedStrengthAssortativity",-0.291019126293358,-0.304536623045986
"DirectedStrengthAssortativity",-0.124357493421482,-0.160725032014262
"AvgWeight",8.37333333333333,9.34236000000002
