"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Aemon",3,5,8,11.7399999999998,43.2419999999997,54.9819999999995
"Alliser Thorne",1,5,6,3.26099999999997,16.8299999999999,20.0909999999999
"Arya Stark",6,6,12,128.352,48.2690000000001,176.621
"Barristan Selmy",7,7,14,71.6600000000006,41.5980000000002,113.258000000001
"Benjen Stark",3,3,6,21.5459999999998,32.8159999999998,54.3619999999996
"Brandon Stark",5,5,10,72.2219999999998,32.5089999999997,104.730999999999
"Bronn",2,2,4,18.1900000000002,12.1199999999999,30.3100000000001
"Catelyn Stark",9,9,18,85.452,86.726999999999,172.178999999999
"Cersei Lannister",8,6,14,102.92,114.581,217.501000000001
"Daenerys Targaryen",9,8,17,131.512,79.1929999999995,210.705
"Drogo",4,3,7,37.664,43.5960000000004,81.2600000000004
"Eddard Stark",17,17,34,318.028,205.784000000001,523.812000000001
"Grenn",4,1,5,12.2490000000005,3.6099999999999,15.8590000000004
"Hodor",1,1,2,1.63999999999987,0.320000000000164,1.96000000000003
"Irri",3,3,6,14.4849999999997,18.6749999999993,33.159999999999
"Jaime Lannister",5,5,10,85.8300000000002,72.1330000000003,157.963
"Janos Slynt",1,1,2,5.23000000000002,1.34999999999991,6.57999999999993
"Jeor Mormont",6,8,14,44.5980000000001,44.2729999999999,88.871
"Joffrey Baratheon",6,5,11,62.274,43.5500000000001,105.824
"Jon Snow",9,8,17,103.141999999999,54.3660000000005,157.508
"Jon Umber",4,4,8,19.5099999999997,31.304,50.8139999999998
"Jorah Mormont",7,5,12,71.7160000000003,75.1490000000006,146.865000000001
"Jory Cassel",1,1,2,1.179,0.579999999999984,1.75899999999998
"Kevan Lannister",2,2,4,8.19599999999991,5.30000000000018,13.4960000000001
"Lancel",1,1,2,11.8600000000001,1.8900000000001,13.7500000000002
"Lancel Lannister",1,0,1,0.980000000000018,0,0.980000000000018
"Lannister guardsman #1",2,1,3,7.73900000000003,2.13999999999999,9.87900000000002
"Lannister messenger #1",0,1,1,0,4.42000000000007,4.42000000000007
"Lannister scout #1",1,1,2,6.13000000000011,3.80000000000018,9.93000000000029
"Little Bird",0,1,1,0,4.93000000000006,4.93000000000006
"Luwin",3,3,6,20.9109999999998,22.4780000000001,43.3889999999999
"Lysa Arryn",2,2,4,15.1999999999999,26.6210000000001,41.8210000000001
"Mago",2,2,4,12.8059999999998,5.11000000000013,17.9159999999999
"Meryn Trant",3,3,6,11.358,8.02500000000001,19.383
"Mirri Maz Duur",3,2,5,5.75600000000009,15.9710000000002,21.7270000000003
"Mordane",3,3,6,14.7230000000001,13.8079999999998,28.5309999999999
"Nan",2,2,4,6.65999999999985,26.611,33.2709999999999
"Night's Watch messenger",0,1,1,0,3.15000000000009,3.15000000000009
"Osha",3,3,6,41.5760000000001,47.3719999999996,88.9479999999997
"Othell Yarwyck",3,3,6,7.81100000000004,10.3599999999997,18.1709999999997
"Petyr Baelish",5,9,14,57.7,147.597,205.297
"Petyr Baelish man #1",1,1,2,5.36999999999989,4,9.36999999999989
"Pycelle",5,5,10,21.7470000000005,28.8920000000002,50.6390000000006
"Pypar",6,2,8,24.5220000000004,14.087,38.6090000000004
"Qotho",1,3,4,2.77099999999996,14.106,16.877
"Rakharo",4,6,10,30.2880000000005,33.0800000000002,63.3680000000006
"Rast",2,1,3,9.33000000000015,2.51999999999998,11.8500000000001
"Renly Baratheon",3,1,4,26.5599999999998,36.6259999999998,63.1859999999997
"Rickon Stark",1,1,2,6,1.84999999999991,7.84999999999991
"Robb Stark",9,9,18,78.3189999999998,71.8900000000002,150.209
"Robert Baratheon",5,9,14,15.9190000000003,119.121,135.040000000001
"Robin Arryn",1,1,2,5.83100000000013,2.45999999999992,8.29100000000005
"Rodrik Cassel",3,3,6,20.5709999999997,8.0499999999995,28.6209999999992
"Ros",1,1,2,55.36,6.89999999999998,62.26
"Royal Steward",1,1,2,0.630000000000109,9.36899999999991,9.99900000000002
"Samwell Tarly",6,5,11,40.7709999999997,55.9920000000002,96.763
"Sandor Clegane",1,1,2,4.07999999999998,1.33999999999998,5.41999999999996
"Sansa Stark",9,8,17,58.1989999999999,51.4039999999999,109.603
"Shagga",2,3,5,28.3099999999999,24.7130000000004,53.0230000000003
"Stableboy",1,1,2,4.863,4.49200000000002,9.35500000000002
"Stark guard #1",1,1,2,1.59000000000015,4.01000000000022,5.60000000000037
"Syrio Forel",3,3,6,18.1850000000001,80.0610000000001,98.2460000000002
"Theon Greyjoy",5,5,10,25.6890000000001,33.788,59.4770000000001
"Tomard",1,1,2,4.66000000000031,0.710000000000036,5.37000000000035
"Tyrion Lannister",11,12,23,126.886,133.12,260.005999999999
"Tywin Lannister",6,4,10,47.6639999999996,66.7420000000002,114.406
"Varys",4,4,8,36.3699999999999,68.5900000000003,104.96
"Viserys Targaryen",1,2,3,2.9989999999998,10.846,13.8449999999998
"Wineseller",3,2,5,16.2190000000001,25.5600000000002,41.7790000000003
"Yoren",2,2,4,15.6240000000003,22.6559999999995,38.2799999999998
