"","counts","durations"
"AvgInDegree",3.65714285714286,3.65714285714286
"AvgOutDegree",3.65714285714286,3.65714285714286
"AvgAllDegree",7.31428571428571,7.31428571428571
"AvgInStrength",30,34.1304714285714
"AvgOutStrength",30,34.1304714285714
"AvgAllStrength",60,68.2609428571429
"UndirectedDegreeAssortativity",-0.241367295653336,-0.241367295653336
"DirectedDegreeAssortativity",-0.251483511420059,-0.251483511420059
"UndirectedStrengthAssortativity",-0.156539904477311,-0.163561956205388
"DirectedStrengthAssortativity",-0.116307570526976,-0.121054320512619
"AvgWeight",8.203125,9.33255078125
