"","counts","durations"
"AvgInDegree",2.23076923076923,2.23076923076923
"AvgOutDegree",2.23076923076923,2.23076923076923
"AvgAllDegree",4.46153846153846,4.46153846153846
"AvgInStrength",32.8461538461538,33.7486923076923
"AvgOutStrength",32.8461538461538,33.7486923076923
"AvgAllStrength",65.6923076923077,67.4973846153846
"UndirectedDegreeAssortativity",-0.409517029654513,-0.409517029654513
"DirectedDegreeAssortativity",-0.421419623422677,-0.421419623422677
"UndirectedStrengthAssortativity",-0.341997705355107,-0.339171353954937
"DirectedStrengthAssortativity",-0.344050927644742,-0.34198224071484
"AvgWeight",14.7241379310345,15.128724137931
