"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Barney Hull",1,1,2,10.8979999999999,11.3999999999999,22.2979999999998
"Bob Birch",0,1,1,0,0.908999999999992,0.908999999999992
"Carly Heath",1,1,2,9.74000000000001,8.4050000000002,18.1450000000002
"Christina Gallagher",3,2,5,31.6769999999999,26.1410000000001,57.818
"Claire Underwood",2,4,6,31.9009999999998,49.4949999999999,81.3959999999997
"Diane",1,1,2,0.874000000000024,1.93199999999996,2.80599999999998
"Douglas Stamper",5,5,10,64.929,79.1940000000003,144.123
"Drew Coughlin",0,2,2,0,8.39200000000006,8.39200000000006
"Edward Meechum",0,3,3,0,3.61199999999985,3.61199999999985
"Francis Underwood",15,11,26,168.919000000001,172.262,341.181000000001
"Garrett Walker",3,3,6,29.9280000000001,20.1560000000002,50.0840000000003
"Gillian Cole",0,3,3,0,10.3169999999999,10.3169999999999
"Janine Skorsky",3,3,6,37.425,23.6119999999996,61.0369999999996
"Jim Matthews",6,5,11,37.2259999999997,28.985,66.2109999999998
"Linda Vasquez",3,3,6,24.7510000000002,29.9360000000004,54.6870000000005
"Lucas Goodwin",1,1,2,8.51999999999998,16.2759999999998,24.7959999999998
"Maggie Wilson",1,2,3,1.11000000000001,6.43999999999982,7.54999999999983
"Nancy Kaufberger",2,2,4,18.786,14.1790000000001,32.9650000000001
"Nash Aarons",7,3,10,27.296,3.74099999999998,31.037
"Peter Russo",8,7,15,102.464,117.877,220.341
"Rachel Posner",2,2,4,29.839,23.1599999999998,52.9989999999998
"Randy Flint",3,2,5,17.919,10.2,28.119
"VP's Chief of Staff",1,1,2,1.35400000000004,2.25499999999988,3.60899999999992
"Waitress #1",1,2,3,0.460000000000036,0.552000000000134,1.01200000000017
"Walter Doyle",3,3,6,37.2049999999999,39.2510000000005,76.4560000000004
"Zoe Barnes",5,4,9,90.1389999999999,74.6809999999998,164.82
