"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Adam Galloway",1,1,2,43,54,97
"Barney Hull",1,1,2,4,3,7
"Carly Heath",0,1,1,0,1,1
"Christina Gallagher",1,1,2,16,28,44
"Claire Underwood",1,1,2,54,43,97
"Desk Officer #1",2,1,3,10,3,13
"Desk Officer #2",0,2,2,0,2,2
"Doorman #1",1,1,2,10,17,27
"Douglas Stamper",2,3,5,20,26,46
"Francis Underwood",7,7,14,157,166,323
"Garrett Walker",3,3,6,37,55,92
"Janine Skorsky",1,0,1,1,0,1
"Jim Matthews",3,2,5,40,35,75
"Linda Vasquez",2,3,5,41,29,70
"Lucas Goodwin",1,1,2,13,9,22
"Peter's daughter",1,1,2,25,18,43
"Peter Russo",7,5,12,113,86,199
"unknown",0,1,1,0,1,1
"Zoe Barnes",3,2,5,28,36,64
