"","InDegree","OutDegree","AllDegree","InStrength","OutStrength","AllStrength"
"Adam Galloway",1,1,2,42.46,53.24,95.7
"Barney Hull",1,1,2,23.7070000000001,21.0420000000001,44.7490000000002
"Bob Birch",0,1,1,0,0.908999999999992,0.908999999999992
"Brian",1,1,2,9.84000000000015,3.8599999999999,13.7000000000001
"Carly Heath",1,2,3,9.74000000000001,9.46300000000019,19.2030000000002
"Catherine Durant",1,1,2,16.1329999999998,8.19600000000037,24.3290000000002
"Charles Holburn",1,1,2,3.95099999999979,6.23000000000002,10.1809999999998
"Christina Gallagher",3,2,5,82.427,75.6550000000004,158.082
"Claire Underwood",7,8,15,178.614,180.728999999999,359.342999999999
"Desk Officer #1",2,1,3,11.9579999999999,3.29999999999995,15.2579999999998
"Desk Officer #2",0,2,2,0,1.94999999999981,1.94999999999981
"Diane",1,1,2,0.874000000000024,1.93199999999996,2.80599999999998
"Donald Blythe",1,1,2,26.3150000000001,10.116,36.4310000000001
"Doorman #1",1,1,2,11.1460000000001,19.747,30.8930000000001
"Douglas Stamper",5,5,10,122.762,134.808,257.57
"Drew Coughlin",0,2,2,0,8.39200000000006,8.39200000000006
"Edward Meechum",0,3,3,0,3.61199999999985,3.61199999999985
"Evelyn Baxter",1,1,2,27.374,23.5519999999999,50.9259999999999
"Felicity Holburn",1,1,2,6.10399999999981,7.78200000000015,13.886
"Francis Underwood",23,19,42,572.692000000001,620.042,1192.734
"Freddy Hayes",1,1,2,8.53999999999996,7.90000000000009,16.4400000000001
"Garrett Walker",3,3,6,68.1400000000001,75.3040000000003,143.444
"Gillian Cole",0,3,3,0,10.3169999999999,10.3169999999999
"Henry Chapman",1,1,2,11.57,9.40600000000006,20.9760000000001
"Jack Warton",1,1,2,4.874,2.04599999999999,6.91999999999999
"Janine Skorsky",5,4,9,56.2379999999997,34.6419999999998,90.8799999999995
"Jim Matthews",7,5,12,89.6839999999998,65.3450000000002,155.029
"Linda Vasquez",3,3,6,121.703,113.39,235.093
"Lucas Goodwin",2,2,4,55.855,49.8059999999999,105.661
"Maggie Wilson",1,2,3,1.11000000000001,6.43999999999982,7.54999999999983
"Michael Kern",0,3,3,0,29.2799999999993,29.2799999999993
"Nancy Kaufberger",3,2,5,25.45,18.8400000000002,44.2900000000002
"Nash Aarons",7,3,10,27.296,3.74099999999998,31.037
"Peter's daughter",1,1,2,24.8009999999999,17.6100000000001,42.411
"Peter Russo",14,13,27,279.595,283.582,563.177
"Policeman",1,2,3,8.51800000000003,11.6019999999999,20.1199999999999
"Rachel Posner",4,2,6,35.272,23.1599999999998,58.4319999999998
"Randy Flint",3,2,5,17.919,10.2,28.119
"Steve Jones",2,2,4,14.8470000000002,8.16399999999998,23.0110000000002
"Tom Hammerschmidt",3,3,6,27.2699999999998,29.9429999999997,57.2129999999996
"unknown",0,1,1,0,1.42599999999993,1.42599999999993
"VP's Chief of Staff",1,1,2,1.35400000000004,2.25499999999988,3.60899999999992
"Waitress #1",1,2,3,0.460000000000036,0.552000000000134,1.01200000000017
"Walter Doyle",3,3,6,37.2049999999999,39.2510000000005,76.4560000000004
"Zoe Barnes",10,8,18,219.375,234.414,453.789
