"","counts","durations"
"AvgInDegree",2.84444444444444,2.84444444444444
"AvgOutDegree",2.84444444444444,2.84444444444444
"AvgAllDegree",5.68888888888889,5.68888888888889
"AvgInStrength",49.1333333333333,50.7371777777778
"AvgOutStrength",49.1333333333333,50.7371777777778
"AvgAllStrength",98.2666666666667,101.474355555556
"UndirectedDegreeAssortativity",-0.329838906943425,-0.329838906943425
"DirectedDegreeAssortativity",-0.328068106906917,-0.328068106906917
"UndirectedStrengthAssortativity",-0.269802835653912,-0.269845984247662
"DirectedStrengthAssortativity",-0.259598777055262,-0.259360365217143
"AvgWeight",17.2734375,17.8372890625
